,pixel_r,pixel_g,pixel_b,local_r,local_g,local_b,edges_r,edges_g,edges_b,label
1158,45,49,35,36,44,29,36,42,27,norm_pervious
1159,32,43,27,33,43,27,36,43,28,norm_pervious
1160,37,48,32,35,41,27,34,37,25,norm_pervious
1161,35,48,31,32,41,26,34,40,26,norm_pervious
1162,52,57,37,40,44,28,40,45,28,norm_pervious
1163,32,35,28,38,42,26,39,44,28,shaded_pervious
1164,21,32,18,32,37,24,39,43,29,shaded_pervious
1165,31,39,24,34,40,26,37,43,28,shaded_pervious
1166,23,31,18,35,41,27,37,42,27,shaded_pervious
1167,28,35,19,38,44,28,40,46,30,shaded_pervious
1168,58,65,47,45,54,32,37,45,26,norm_pervious
1169,40,53,27,44,51,31,42,46,30,norm_pervious
1170,42,49,31,39,44,28,39,43,28,norm_pervious
1171,123,131,120,120,124,117,60,62,56,norm_impervious
1172,55,59,58,54,59,57,83,87,82,norm_impervious
1173,32,31,36,39,40,41,73,76,69,norm_impervious
1174,113,115,101,109,111,101,56,58,50,norm_impervious
1175,89,90,76,87,89,78,59,61,51,norm_impervious
1176,107,109,95,106,108,99,54,56,49,norm_impervious
1177,93,95,84,98,100,88,66,68,56,norm_impervious
1178,77,79,76,73,75,63,51,55,43,norm_impervious
1179,74,76,73,64,68,58,42,48,33,norm_impervious
1180,74,74,74,65,69,60,43,48,34,norm_impervious
1181,76,77,69,72,74,62,50,54,42,norm_impervious
1182,67,81,56,68,71,58,54,57,45,norm_pervious
1183,37,43,29,49,54,41,62,64,52,norm_pervious
1184,50,54,37,48,50,35,52,53,39,norm_pervious
1185,58,67,50,37,42,26,39,43,29,norm_pervious
1186,74,76,75,77,80,79,87,89,83,norm_impervious
1187,39,40,32,50,51,41,67,69,60,norm_impervious
1188,32,33,28,39,43,32,45,50,38,norm_impervious
1189,34,40,30,43,48,35,50,54,42,norm_impervious
1190,31,32,27,39,43,32,46,51,38,norm_impervious
1191,29,21,19,35,37,27,62,63,54,norm_impervious
1192,26,21,25,35,37,28,61,62,53,norm_impervious
1193,36,37,29,60,60,50,72,72,62,norm_impervious
1194,57,58,52,72,71,59,67,68,56,norm_impervious
1195,43,44,36,66,65,54,72,72,61,norm_impervious
1196,36,38,33,49,51,40,58,58,47,norm_impervious
1197,33,37,23,36,40,27,53,56,47,norm_impervious
1198,69,71,60,70,72,62,52,55,46,norm_impervious
1199,28,30,19,38,41,28,53,57,47,norm_impervious
1200,30,24,28,36,38,29,62,65,53,norm_impervious
1201,75,76,70,80,81,75,65,66,60,norm_impervious
1202,86,93,86,85,90,87,73,75,71,norm_impervious
1203,88,88,80,77,78,69,69,70,62,norm_impervious
1204,105,102,95,105,106,92,69,70,61,norm_impervious
1205,140,141,133,135,136,128,114,116,103,norm_impervious
